ID,Time,Pos,Name,Team Name,Team Scoring,County
501,16:21:00,1,Martin McEvilly,Galway City Harriers A.C.,,Galway
496,17:23:00,2,Pat Timmons,Raheny Shamrock A.C.,Raheny Shamrock A.C.,Dublin
493,17:39:00,3,Tom Hunt,Mayo A.C.,,
505,17:46:00,4,Pat Collins,Liffey Valley A.C.,,
491,18:41:00,5,Richard Mullins,St. Abbans A.C.,,Laois
515,18:50:00,5,Pat Healy,Portmarnock A.C.,,
488,18:53:00,6,Sean Whelan,Ennis Track A.C.,,
506,19:08:00,7,Paddy Reilly,Liffey Valley A.C.,,
514,19:09:00,8,Terry Mee,Donore Harriers,Donore Harriers,Dublin
518,19:24:00,9,Pat Bonass,Clonliffe Harriers A.C.,,
502,19:37:00,10,Patrick Shelly,Ballynonty A.C.,,
523,19:45:00,11,Jim McNamara,Donore Harriers,Donore Harriers,Dublin
492,20:12:00,12,Dinny Whelan,St. Abbans A.C.,,
500,20:14:00,13,Martin Hynes,Tuam A.C.,,Galway
490,20:29:00,14,Tj Beatty,Loughrea A.C.,,Galway
517,21:03:00,15,Jim Langan,Tullamore Harriers A.C.,,
525,21:21:00,16,Roger Rushe,Tuam A.C.,,Galway
522,21:24:00,17,Joseph Maguire,Donore Harriers,Donore Harriers,Dublin
516,22:59:00,18,Martin Keane,Athenry A.C.,,Galway
498,25:41:00,19,Ray McCormack,Raheny Shamrock A.C.,Raheny Shamrock A.C.,Dublin
