Place,Name,Club,Bib,Time
1,Maria McCambridge,Dundrum South Dublin A.C. (A),202,27:26 
2,Sarah Mulligan,Dundrum South Dublin A.C. (A),203,28:54 
3,Michelle McGee,Dundrum South Dublin A.C. (A),207,29:04 
4,Shona Heaslip,An Riocht A.C.,235,29:29 
5,Maria O'Sullivan,Raheny Shamrock A.C. (A),248,29:50 
6,Caroline Crowley,Crusaders A.C. (B),237,30:31 
7,Meghan Ryan,Dundrum South Dublin A.C. (A),201,30:50 
8,Elizabeth Egan,Bree A.C.,200,31:05 
9,Niamh O'Sullivan,An Riocht A.C.,236,31:23 
10,Karen Crossan,Raheny Shamrock A.C. (A),246,32:28 
11,Sorcha Humphreys,Dundrum South Dublin A.C. (A),205,33:13 
12,Aoife Quigley,Crusaders A.C. (B),252,33:15 
13,Sile Carroll,Liffey Valley AC (A),217,33:28 
14,Siobhan Kennehan,Liffey Valley AC (A),218,33:45 
15,Catherine Thornton,Crusaders A.C. (B),251,33:48 
16,Sarah Quigley,Raheny Shamrock A.C. (A),249,34:11 
17,Eimear Nicanbhaird,Liffey Valley AC (A),220,34:37 
18,Deirdre Ni Chearbhaill,Crusaders A.C. (B),239,35:00 
19,Orla Manley,Raheny Shamrock A.C. (A),247,36:08 
20,Helena Crossan,Inishowen A.C. (B),253,37:03 
21,Aileen Doherty,Inishowen A.C. (B),242,38:45 
22,Ruth Doherty,Inishowen A.C. (B),244,38:59 
23,Tracy Harley,Inishowen A.C. (B),243,40:30 
24,Lisa Sweeney,Inishowen A.C. (B),245,44:58
