Place,No,Name,Club,Time
1,878,Mick Clohisey,Raheny Shamrock,32.09
2,881,Freddy Sittuk,Raheny Shamrock,32.13
3,914,Brandon Hargreaves,Dundrum South Dublin A.C.,32.15
4,935,Sergie Ciobanu,Clonliffe Harriers,32.32
5,941,John Coghlan,MSB,32.51
6,850,Mark Dooley,Donore Harriers,33.45
7,875,Mark Kirwan,Raheny Shamrock,33.47
8,932,Jamie Rossiter,Clonliffe Harriers,33.52
9,853,Eric Keogh,Donore Harriers,33.55
10,917,Leon O'Connor,Dundrum South Dublin A.C.,33.57
11,877,Cillian O'Leary,Raheny Shamrock,34.09
12,852,Ray Hynes,Donore Harriers,34.15
13,857,Michael McMahon,Donore Harriers,34.17
14,900,Paul Stephenson,Rathfarnham WSAF,34.23
15,863,Peter Arthurs,Liffey Valley,34.27
16,930,Brian McMahon,Clonliffe Harriers,34.27
17,851,John Dunne,Donore Harriers,34.33
18,919,Robert Corbally,Dundrum South Dublin A.C.,34.19
19,879,Simon Ryan,Raheny Shamrock,34.59
20,943,Neil O'Rourke,Civil Service Harriers,35.22
21,855,Aogan MacDomhnaill,Donore Harriers,35.26
22,902,Paul Fleming,Rathfarnham WSAF,35.3
23,854,Niall Lynch,Donore Harriers,35.35
24,915,John Eves,Dundrum South Dublin A.C.,35.4
25,908,David Scanlon,Rathfarnham WSAF,35.48
26,918,Rick Nally,Dundrum South Dublin A.C.,36.06
27,895,John Frazer,Crusaders,36.11
28,947,Karol Cronin,Sportsworld A.C.,36.14
29,933,Thomas Sherlock,Clonliffe Harriers,36.17
30,905,Brian Furey,Rathfarnham WSAF,36.19
31,882,Mick Traynor,Raheny Shamrock,36.22
32,896,Michael Kiely,Crusaders,36.55
33,950,Phil Kilgannon,Sportsworld A.C.,37.00
34,867,Darren Spring,Liffey Valley,37.09
35,911,Eoin McLaughlin,Rathfarnham WSAF,37.11
36,948,Gareth Murran,Sportsworld A.C.,37.14
37,864,Chris Morgan,Liffey Valley,37.19
38,893,Jason Kehoe,Crusaders,37.22
39,890,Wes O'Brien,Raheny Shamrock,37.31
40,913,Liam Dunne,Rathfarnham WSAF,37.48
41,909,David Power,Rathfarnham WSAF,37.56
42,938,Michael Cassidy,Clonliffe Harriers,38.01
43,870,Arnaud Benjecar,Liffey Valley,38.15
44,906,Johnny Hughes,Rathfarnham WSAF,38.18
45,920,Michael McCarthy,Dundrum South Dublin A.C.,38.22
46,944,Luke Coleman,Tallaght,38.22
47,869,Ciaran Reilly,Liffey Valley,38.39
48,901,Aaron Browne,Rathfarnham WSAF,38.46
49,862,Brendan Beere,Liffey Valley,38.51
50,956,Paul O'Connell,Sportsworld A.C.,39.06
51,860,Des Trimble,Donore Harriers,39.07
52,936,Sean Dorna,Clonliffe Harriers,39.14
53,866,Billy Hanly,Liffey Valley,39.26
54,925,Romain Denis,Dundrum South Dublin A.C.,39.34
55,868,Gavin Curran,Liffey Valley,39.42
56,872,Sean Dowling,Liffey Valley,40.06
57,894,Johannes Frederking,Crusaders,40.31
58,951,Packie Enright,Sportsworld A.C.,40.45
59,892,Gary Park,Crusaders,41.40
60,949,Derek Saville,Sportsworld A.C.,42.01
61,945,David Callaghan,Tallaght,45.07
