Place,No,Name,Club,Time
1,2,Caroline Crowley,Crusaders,21.44
2,47,Ciara Durkan,Skerries,22.19
3,1,Orla Drumm,Crusaders,22.30
4,22,Maria O'Sullivan,Raheny Shamrock,23.02
5,3,Marie Hyland,Crusaders,23.18
6,46,Kate O'Neill,MSB,23.32
7,14,Leona O’Reilly,Liffey Valley,23.55
8,38,Emer O'Brien,Clonliffe Harriers,24.08
9,9,Ide Nic Dhomhnaill,Donore Harriers,24.31
10,13,Anne Curley,Donore Harriers,24.35
11,53,Niamh Donnelly,Dublin City Harriers,24.38
12,10,Sorcha Nic Dhomhnaill,Donore Harriers,24.42
13,17,Aileen Gittens,Liffey Valley,24.51
14,4,Ilona McElroy,Crusaders,25.01
15,48,Clare Sullivan,Rathfarnham WSAF,25.12
16,24,Karen Crossan,Raheny Shamrock,25.20
17,15,Sile Carroll,Liffey Valley,25.27
18,5,Aoife Quigley,Crusaders,25.32
19,7,Ailbhe O'Driscoll-Collins,Crusaders,25.34
20,25,Laura Brennan,Raheny Shamrock,25.36
21,12,Florence Curley,Donore Harriers,25.37
22,19,Eimear Nicanbhaird,Liffey Valley,25.39
23,50,Claire Brennan,Dublin City Harriers,25.53
24,18,Lena Sinclair,Liffey Valley,26.07
25,40,Bernadette Kiernan,Clonliffe Harriers,26.14
26,27,Aine Crimin,Raheny Shamrock,26.22
27,39,Louise Carraher,Clonliffe Harriers,26.27
28,16,Siobhan Keenehan,Liffey Valley,26.49
29,54,Aoife NiBhrion,Dublin City Harriers,27.02
30,26,Orla Manley,Raheny Shamrock,27.12
31,51,Edel McNamara,Dublin City Harriers,27.35
32,43,Clodagh Moriarty,Clonliffe Harriers,27.35
33,29,Molly Rickard,Raheny Shamrock,28.49
34,37,Ashling Andrews,Clonliffe Harriers,29.09
