Place,No,Name,Club,Time
1,173,Mick Clohisey,Raheny Shamrock A.C.,28.47
2,178,Conor Dooney,Raheny Shamrock A.C.,29.24
3,179,Kevin Dooney,Raheny Shamrock A.C.,29.55
4,318,Eric Keogh,Donore Harriers A.C.,29.57
5,317,John Travers,Donore Harriers A.C.,30.08
6,164,John Eves,DSD A.C.,30.26
7,305,Peter Arthur,Liffey Valley A.C.,30.29
8,321,Mael Lambert,Donore Harriers A.C.,30.35
9,166,Patrick McGabhann,DSD A.C.,30.39
10,158,Louis McCarthy,Rathfarnham WSAF,30.40
11,175,Ian Conroy,Raheny Shamrock A.C.,30.43
12,161,David Scanlon,Rathfarnham WSAF,30.51
13,165,Robert Corbally,DSD A.C.,31.01
14,180,John Dunne,Raheny Shamrock A.C.,31.20
15,189,Michael McMahon,Raheny Shamrock A.C.,31.27
16,124,Ian Guiden,Clonliffe Harriers,31.56
17,197,Eoin Strutt,Raheny Shamrock A.C.,32.00
18,140,Karole Cronin,Sportsworld A.C.,32.07
19,136,Conor Healey,Clonliffe Harriers,32.09
20,169,Killian Mooney,DSD A.C.,32.18
21,299,Alban Coughlan,Crusaders A.C.,32.21
22,154,Brian Furey,Rathfarnham WSAF,32.21
23,322,Rossa Hurley,Donore Harriers A.C.,32.23
24,126,Conor McGuinness,Clonliffe Harriers,32.27
25,199,Rob Cross,Crusaders A.C.,32.35
26,181,Donal Foley,Raheny Shamrock A.C.,32.43
27,163,Mark Conway,DSD A.C.,32.47
28,325,Dylan Keegan,Templeogue A.C.,32.52
29,301,Vinnie McGuinness,Crusaders A.C.,32.56
30,131,Sean Doran,Clonliffe Harriers,33.04
31,153,Paul Fleming,Rathfarnham WSAF,33.07
32,300,Ciaran Divinney,Crusaders A.C.,33.08
33,298,Michael Kiely,Crusaders A.C.,33.12
34,323,Niall Lynch,Donore Harriers A.C.,33.23
35,130,Tom Sherlock,Clonliffe Harriers,33.32
36,320,Ken Nugent,Donore Harriers A.C.,33.39
37,304,John Mullivihill,Crusaders A.C.,33.42
38,160,David Power,Rathfarnham WSAF,33.43
39,129,Conor Keane,Clonliffe Harriers,34.00
40,303,Michael O'Connor,Crusaders A.C.,34.12
41,193,Rory O’Sullivan,Raheny Shamrock A.C.,34.44
42,139,Phil Kilgannon,Sportsworld A.C.,34.50
43,302,Jim Stagg,Crusaders A.C.,34.51
44,168,Gary Crossan,DSD A.C.,34.52
45,151,Aaron Browne,Rathfarnham WSAF,34.55
46,141,Conor McCarthy,Sportsworld A.C.,35.05
47,142,Justin McKeever,Sportsworld A.C.,35.10
48,306,Ciaran Reilly,Liffey Valley A.C.,35.13
49,310,Gaeten LaPaige,Liffey Valley A.C.,35.20
50,315,Billy Hanly,Liffey Valley A.C.,35.29
51,311,Mike Griffen,Liffey Valley A.C.,35.44
52,309,Paul Balfe,Liffey Valley A.C.,36.02
53,148,Gareth Murran,Sportsworld A.C.,36.09
54,143,Michael Cunningham,Sportsworld A.C.,36.24
55,314,Charlie Donnelly,Liffey Valley A.C.,37.03
56,167,Kevin Power-Kelly,DSD A.C.,37.37
57,132,Ross Gannon,Clonliffe Harriers,38.07
