Place,No,Name,Club,Time
1,393,Ciara Mageean,UCD A.C.,19.32
2,366,Caroline Crowley,Crusaders A.C.,19.41
3,340,Barbara Cleary ,Donore Harriers,20.21
4,353,Fiona Clinton,DSD A.C.,20.27
5,354,Maria McCambridge ,DSD A.C.,20.38
6,367,Orla Drumm,Crusaders A.C.,20.40
7,355,Meghan Ryan,DSD A.C.,20.54
8,365,Kate O'Neill,MSB,21.01
9,363,Catheriona Mullen,MSB,21.11
10,358,Hariette Robinson,DSD A.C.,21.15
11,336,Sorcha Nic Dhomhnaill,Donore Harriers,21.22
12,392,Laura McDonnell,Tallaght A.C.,21.30
13,359,Niamh Devlin,DSD A.C.,21.36
14,338,Karla Doran ,Donore Harriers,21.41
15,368,Llona McElroy,Crusaders A.C.,21.45
16,371,Irene O'Gorman,Crusaders A.C.,21.48
17,361,Emma Donlon,MSB,21.52
18,337,Sinead Lambe ,Donore Harriers,21.55
19,391,Orla Bollard,Skerries A.C.,22.01
20,373,Aileen Gittens,Liffey Valley A.C.,22.03
21,360,Sarah Fitzpatrick,DSD A.C.,22.05
22,327,Emear O'Brien,Clonliffe Harriers,22.06
23,372,Sile Carroll,Liffey Valley A.C.,22.07
24,344,Niamh Donnelly,DCH,22.08
25,389,Clare Sullivan,Rathfarnham WSAF,22.11
26,334,Aisling Nic Dhomhnaill,Donore Harriers,22.20
27,369,Niamh Boland,Crusaders A.C.,22.25
28,333,Ailish Malone,Clonliffe Harriers,22.33
29,343,Aisling Swaine,Donore Harriers,22.40
30,374,Eimear Ni Canbhaird,Liffey Valley A.C.,22.42
31,379,Karen Crossan,Raheny Shamrock,22.55
32,370,Mary Horgan,Crusaders A.C.,23.07
33,380,Aine Crimin,Raheny Shamrock,23.14
34,395,Lorna Begley,Clonliffe Harriers,23.17
35,396,Orna McGinley,Clonliffe Harriers,23.22
36,381,Laura Brennan,Raheny Shamrock,23.26
37,342,Florence Curley,Donore Harriers,23.32
38,345,Claire Brennan,DCH,23.39
39,362,Sarah Fay,MSB,23.42
40,351,Cliona Murphy,DCH,23.54
41,328,Maura Matthews,Clonliffe Harriers,24.12
42,346,Aoife Ni Bhroin,DCH,24.35
43,364,Eimear O'Leary,MSB,24.50
44,383,Sarah Quigley,Raheny Shamrock,25.55
45,390,Suzanne Ryan,Rathfarnham WSAF,25.57
46,384,Ellen O'Hanlon,Raheny Shamrock,26.08
47,330,Brid Beasang,Clonliffe Harriers,26.17
48,388,Fiona Nelson,Raheny Shamrock,26.32
49,332,Emer Brenna,Clonliffe Harriers,27.10
50,385,Sarah Hawkshaw,Raheny Shamrock,28.10
