Place,Name,Gross Time,Bib,Cat,Club
1,Mark CHRISTIE,31:00,253,Senior Men,Mullingar Harriers A.C.
2,Liam BRADY,31:07,275,Senior Men,Tullamore Harriers A.C.
3,Thomas HAYES,32:01,227,Senior Men,Kilkenny City Harriers A.C.
4,Colin MAHER,32:39,238,Senior Men,Ballyfin A.C.
5,Peter ARTHUR,32:51,209,Senior Men,Liffey Valley A.C.
6,Ian CONROY,32:54,221,Senior Men,Raheny Shamrock A.C.
7,Darragh RENNICKS,33:04,243,Senior Men,Bohermeen A.C.
8,Simon RYAN,33:09,217,Senior Men,Raheny Shamrock A.C.
9,Stephen LAWLOR,33:30,241,Senior Men,St Abbans A.C
10,Brian KIRWAN,33:39,203,Senior Men,St. L. O'Toole A.C.
11,Neil O'ROURKE,34:21,208,Senior Men,Civil Service A.C.
12,Donal FOLEY,34:31,219,Senior Men,Raheny Shamrock A.C.
13,Clive QUINN,34:53,267,Senior Men,Sli Cualann A.C.
14,Ciaran MCCARTHY,34:56,222,Senior Men,Raheny Shamrock A.C.
15,Rory KAVANAGH,35:08,248,Senior Men,Dunboyne A.C.
16,Dave FOX,35:10,306,Senior Men,Tullamore Harriers A.C.
17,Pauric BERRY,35:27,305,Senior Men,Tullamore Harriers A.C.
18,Jason DONEGAN,35:27,308,Senior Men,Tullamore Harriers A.C.
19,Loughlin CAMPION,35:37,245,Senior Men,Dunboyne A.C.
20,Ray LONERGAN,35:47,228,Senior Men,Kilkenny City Harriers A.C.
21,Malcolm MCDONNELL,35:58,256,Senior Men,Mullingar Harriers A.C.
22,Timmy MURPHY,36:02,257,Senior Men,Mullingar Harriers A.C.
23,John MCGRATH,36:03,269,Senior Men,United Striders A.C
24,Rory O'SULLIVAN,36:14,223,Senior Men,Raheny Shamrock A.C.
25,Tim GRUMMELL,36:17,263,Senior Men,Sli Cualann A.C.
26,Chris MORGAN,36:18,215,Senior Men,Liffey Valley A.C.
27,Morgan MCDONAGH,36:31,249,Senior Men,Dunboyne A.C.
28,Arnaud BENJACAR,36:34,211,Senior Men,Liffey Valley A.C.
29,James KEEGAN,36:35,254,Senior Men,Mullingar Harriers A.C.
30,Alan O'CONNOR,36:51,271,Senior Men,United Striders A.C
31,Eddie GARY,37:04,841,Senior Men,Tullamore Harriers A.C.
32,Sean DOWLING,37:06,212,Senior Men,Liffey Valley A.C.
33,Michael CONNEELY,37:08,840,Senior Men,Tullamore Harriers A.C.
34,Ian MCCORMACK,37:13,255,Senior Men,Mullingar Harriers A.C.
35,Paul MORAN,37:18,230,Senior Men,Kilkenny City Harriers A.C.
36,Paul BALFE,37:21,210,Senior Men,Liffey Valley A.C.
37,Billy RECK,37:26,261,Senior Men,Slaney Olympic A.C.
38,John STONE,37:32,259,Senior Men,D.M.P. A.C.
39,Ciaran REILLY,37:36,216,Senior Men,Liffey Valley A.C.
40,Ger MALONEY,37:36,262,Senior Men,St. Pauls A.C.
41,Liam BUGGY,38:00,234,Senior Men,Ballyfin A.C.
42,Stephen O'KENNEDY,38:12,265,Senior Men,Sli Cualann A.C.
43,Mark DONEGAN,38:28,843,Senior Men,Tullamore Harriers A.C.
44,Mike GRIFFIN,38:52,213,Senior Men,Liffey Valley A.C.
45,Patrick YOUNG,39:09,232,Senior Men,Kilkenny City Harriers A.C.
46,Darren BUTLER,39:14,307,Senior Men,Tullamore Harriers A.C.
47,Pauric BRADY,39:27,252,Senior Men,Mullingar Harriers A.C.
48,Keith GORRY,39:34,842,Senior Men,Tullamore Harriers A.C.
49,Colm WALSH,39:34,258,Senior Men,Mullingar Harriers A.C.
50,Keith EGLINGTON,39:59,247,Senior Men,Dunboyne A.C.
51,Ted FLANNELLY,40:05,273,Senior Men,United Striders A.C
52,Matt FLANNELLY,40:38,272,Senior Men,United Striders A.C
53,Tony GARTLAND,43:41,264,Senior Men,Sli Cualann A.C.
