ID,Time,Pos,Name,Team Name,Team Scoring,County
1218,19:10:00,1,Danielle Fegan,Armagh A.C.,,
1230,19:15:00,2,Mary Ann O'Sullivan,Tinryland A.C.,,
1221,19:21:00,3,Sara Doohan,Corran A.C.,,Sligo
1160,19:27:00,4,Caroline Crowley,Crusaders A.C.,Crusaders A.C.,Dublin
1172,19:36:00,5,Shona Heaslip,An Riocht A.C.,,Kerry
1225,19:55:00,6,Adrianna Melia,Longford A.C,,
1176,19:58:00,7,Maria McCarthy,Farranfore Maine Valley A.C.,,Kerry
1168,20:05:00,8,Jane Ann Healy,Athenry A.C.,,Galway
1227,20:08:00,9,Sharon Grant,Portlaoise A.C.,,
1226,20:20:00,10,Emma Donlan,Metro/St. Brigid's A.C.,,
1161,20:22:00,11,Ilona McElroy,Crusaders A.C.,Crusaders A.C.,Dublin
1164,20:26:00,12,Barbara Dunne,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1174,20:36:00,13,Grace Lynch,Iveragh A.C.,,Kerry
1223,20:43:00,14,Nicole Kenny,Dundrum South Dublin A.C.,,
1197,20:53:00,15,Sile Carroll,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1220,20:59:00,16,Anne Linden,Carrick Aces A.C.,,
1199,21:00:00,17,Aileen Gittens,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1166,21:03:00,18,Niamh Hennelly,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1171,21:04:00,19,Karina Teahan,St. Finbarrs A.C.,St. Finbarrs A.C.,Kerry
1187,21:05:00,20,Aisling Van Rensburg,North Sligo A.C.,North Sligo A.C.,Sligo
1219,21:06:00,21,Grace McConnell,Ballyroan Abbeyleix & Dist. A.C.,,
1182,21:15:00,22,Sarah Healy,North Sligo A.C.,North Sligo A.C.,Sligo
1157,21:29:00,23,Fiona Santry,East Cork A.C.,,Cork
1202,21:35:00,24,Eimear Nicanbhaird,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1189,21:44:00,25,Marie Byrne,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1190,21:48:00,26,Louise Caraher,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1224,21:49:00,27,Sinead Peoples,Letterkenny A.C.,,
1158,21:49:00,28,Rachel Wisdom,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,Dublin
1185,21:50:00,29,Una McCool,North Sligo A.C.,North Sligo A.C.,Sligo
1165,21:59:00,30,Siobhan Egan,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1195,22:01:00,31,Yvonne MacAuley,Crusaders A.C.,Crusaders A.C.,
1222,22:04:00,32,Lucy Backus,Cranford A.C.,,
1154,22:09:00,33,Aoife Carroll,Mallow A.C.,,Cork
1201,22:17:00,34,Siobhan Keenehan,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1156,22:24:00,35,Eadaoin O'Neill,East Cork A.C.,,Cork
1192,22:29:00,36,Maura Matthews,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1175,22:30:00,37,Niamh Clifford,Star of the Laune A.C.,,Kerry
1183,22:34:00,38,Andrea Horgan,North Sligo A.C.,North Sligo A.C.,Sligo
1191,22:35:00,39,Sinead Hartnett,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1228,22:38:00,40,Rianne McHugh,Sligo A.C.,,
1184,22:38:00,41,Linda Lally,North Sligo A.C.,North Sligo A.C.,Sligo
1186,22:44:00,42,Patricia McCosker,North Sligo A.C.,North Sligo A.C.,Sligo
1193,22:47:00,43,Joyce O'Hare,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1196,23:00:00,44,Deirdre Ni Chearbhaill,Crusaders A.C.,Crusaders A.C.,Dublin
1229,23:08:00,45,Claire Madigan,St. John's A.C.,,
1167,23:17:00,46,Jean O'Connor,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1163,23:26:00,47,Maeve Brassil,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1188,23:33:00,48,Aisling Andrews,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1216,23:44:00,49,Tara Rhatigan,Sportsworld A.C.,Sportsworld A.C.,
1200,23:46:00,50,Annie Gittens,Liffey Valley A.C.,Liffey Valley A.C.,
1169,24:13:00,51,Elaine Fleming,Tuam A.C.,,Galway
1194,24:43:00,52,Kerri Page,Clonliffe Harriers A.C.,Clonliffe Harriers A.C.,
1203,25:06:00,53,Lauryn Sullivan,Liffey Valley A.C.,Liffey Valley A.C.,
1151,26:34:00,54,Rebecca McEvoy,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
1170,27:00:00,55,Joanna Kiely,Tuam A.C.,,Galway
