ID,Time,Pos,Name,Team Name,Team Scoring,County
561,15:34:00,1,Natasha Adams,Letterkenny A.C.,Letterkenny A.C.,Donegal
711,15:40:00,2,Pauline Curley,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
638,15:50:00,3,Cathy Mc Court,Beechmount Harriers A.C.,Beechmount Harriers A.C.,
642,15:55:00,4,Paula Grant,Portlaoise A.C.,,
562,15:55:00,5,Fionnuala Diver,Letterkenny A.C.,Letterkenny A.C.,Donegal
596,15:58:00,6,Elizabeth Egan,Bree A.C.,,
687,16:03:00,7,Carmel Crowley,Bandon A.C.,,Cork
608,16:13:00,8,Catriona Devine,Finn Valley A.C.,Finn Valley A.C.,Donegal
753,16:20:00,9,Niamh O'Sullivan,An Riocht A.C.,An Riocht A.C.,Kerry
603,16:22:00,10,Evelyn Cashman,Youghal A.C.,,Cork
721,16:25:00,11,Jacqueline McGinley,City of Derry AC,Spartans,
623,16:28:00,12,Helen Corbett,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
706,16:36:00,13,Colette Tuohy,Mayo A.C.,Mayo A.C.,Mayo
554,16:36:00,14,Kim Hickey,Donore Harriers,Donore Harriers,Cork
708,16:38:00,15,Emilia Dan,Dunboyne A.C.,,Meath
692,16:38:00,16,Maria Dolan,Rathfarnham W.S.A.F. A.C.,Rathfarnham W.S.A.F. A.C.,Dublin
612,16:40:00,17,Anne Curley,Donore Harriers,Donore Harriers,Dublin
602,16:41:00,18,Ann-Marie Holland,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
627,16:42:00,19,Catriona Barry,Farranfore Maine Valley A.C.,,Kerry
737,16:45:00,20,Kay Byrne,Finn Valley A.C.,Finn Valley A.C.,Donegal
582,16:46:00,21,Esther O'Flaherty,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
580,16:46:00,22,Sinead Brody,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
560,16:47:00,23,Catherine Dooher,Finn Valley A.C.,Finn Valley A.C.,Donegal
771,16:48:00,24,Carmel Parnell,Leevale A.C.,,Cork
626,16:51:00,25,Eilís Ní Dhúill,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
688,16:59:00,26,Donna Evans,Finn Valley A.C.,Finn Valley A.C.,Donegal
551,17:00:00,27,Maria Carey,Ennis Track A.C.,Ennis Track A.C.,Clare
686,17:01:00,28,Margo Dinan,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
752,17:03:00,29,Sharon Cahill,An Riocht A.C.,An Riocht A.C.,Kerry
785,17:05:00,30,Lucy Brennan,Sligo A.C.,Sligo A.C.,
581,17:07:00,31,Gráinne Ní Uallachain,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
583,17:15:00,32,Geraldine Gill,Bohermeen A.C.,,Meath
558,17:17:00,33,Sinead Sexton-Renton,Mallow A.C.,Mallow A.C.,Cork
597,17:19:00,34,Kathleen McNulty,Finn Valley A.C.,Finn Valley A.C.,Donegal
